Unavngivet regneark - Ark1(1)
title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Octagonal Bowl with Dragons and Auspicious Motifs;Eiraku Tokuzen (Japanese, 1853–1909);Eiraku Tokuzen;Japan;<p>Eiraku Tokuzen (Japanese, 1853–1909) </p><p>Date: second half of the 19th century<br/>Accession Number: 23.225.251</p>;"/art/collection/search/63023?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=87";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-17989-007.jpg;as/web-additional/DP-17989-007.jpg;as/web-large/DP-17989-007.jpg;second half of the 19th century;Porcelain painted with red and gold over a transparent glaze (Kyoto ware, Eiraku type);26.49.11;Not on view
Rectangular tray with double dragons;Accession Number: 2015.500.1.54;;China;<p>Accession Number: 2015.500.1.54</p>;"/art/collection/search/40252?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=88";https://images.metmuseum.org/CRDImages/as/mobile-large/DP704072.jpg;as/web-additional/DP704072.jpg;as/web-large/DP704072.jpg;;Polychrome lacquer with filled-in and engraved-gold decoration;2015.500.1.54;Not on view
Surcoat (<i>Jinbaori</i>);;;Japanese;<p>Date: ca. 1866<br/>Accession Number: 2012.163</p>;"/art/collection/search/35856?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=89";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP320308.jpg;aa/web-additional/DP320308.jpg;aa/web-large/DP320308.jpg;ca. 1866;Cotton, silk, gold, silver;2014.43.00;Not on view
Standing cup;Probably after a design by Reinhold Vasters (German, Erkelenz 1827–1909 Aachen);Reinhold Vasters;probably French;<p>Probably after a design by Reinhold Vasters (German, Erkelenz 1827–1909 Aachen) </p><p>Date: ca. 1870–90<br/>Accession Number: 17.190.1703</p>;"/art/collection/search/194225?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=90";https://images.metmuseum.org/CRDImages/es/mobile-large/DP145579.jpg;es/web-additional/DP145579.jpg;es/web-large/DP145579.jpg;ca. 1870–90;"Red jasper; gold, partly enameled and set with gems";20.38.23;Not on view
Case (Inrō) with Design of Rain-Dragon and Spirals on Karakusa Background;;;Japan;<p>Date: 18th century<br/>Accession Number: 91.1.688</p>;"/art/collection/search/58467?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=91";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15452-119.jpg;as/web-additional/DP-15452-119.jpg;as/web-large/DP-15452-119.jpg;18th century;"Lacquer, roiro, gold and silver hiramakie, metal cord runners; Interior: nashiji and fundame";91.12.28;Not on view
Case (Inrō) with Two Four-Clawed Dragons among Swirling Clouds;;;Japan;<p>Date: 18th century<br/>Accession Number: 29.100.733</p>;"/art/collection/search/58647?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=92";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_733_d1.JPG;as/web-additional/29_100_733_d1.JPG;as/web-large/29_100_733_d1.JPG;18th century;"Lacquer, roiro, aogai and gold foil kirigane, white lacquer, inlaid eyes; Interior: nashiji and fundame";30.52.13;Not on view
Circular Food Box with Dragons and the Character Shou (Longevity);;;China;<p>Date: 18th–19th century<br/>Accession Number: 2015.500.1.64a, b</p>;"/art/collection/search/40269?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=93";https://images.metmuseum.org/CRDImages/as/mobile-large/DP704102.jpg;as/web-additional/DP704102.jpg;as/web-large/DP704102.jpg;18th–19th century;Black and red lacquer painted with gold, lacquer, and oil colors;2015.500.1.64a, b;Not on view
Ceremonial Armors for Man (<i>Dingjia</i>) and Horse;;;Chinese;<p>Date: 18th century<br/>Accession Number: 36.25.2a–qq</p>;"/art/collection/search/24010?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=94";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP275015.jpg;aa/web-additional/DP275015.jpg;aa/web-large/DP275015.jpg;18th century;Steel, gold, silver, velvet, satin, iron, coral, malachite, turquoise, crystal, silk, cotton, brass, pearls, marten, feathers (kingfisher), paper, lacquer;36.25.2a–qq;Not on view
Ceremonial Armors for Man (<i>Dingjia</i>) and Horse;;;Chinese;"<p>Date: 18th century<br/>Accession Number: 36.25.2..., 3o–r, 7a, 536a, b; 14.48.1ab</p>";"/art/collection/search/35726?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=95";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP275015.jpg;aa/web-additional/DP275015.jpg;aa/web-large/DP275015.jpg;18th century;Steel, copper, gold, silk, leather, hair;"36.25.2..., 3o–r, 7a, 536a, b; 14.48.1ab";Not on view
"""Bahram Gur Slays the Dragon"", Folio from a Shahnama (Book of Kings)";"Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)";Abu'l Qasim Firdausi;;"<p>Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus) </p><p>Date: second half 17th century<br/>Accession Number: 1975.192.22</p>";"/art/collection/search/452763?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=96";https://images.metmuseum.org/CRDImages/is/mobile-large/DP215769.jpg;is/web-additional/DP215769.jpg;is/web-large/DP215769.jpg;second half 17th century;Ink, opaque watercolor, and gold on paper;1978.12.22;Not on view
Helmet;;;Chinese;<p>Date: probably mid- to late 17th century<br/>Accession Number: 1997.18</p>;"/art/collection/search/24963?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=97";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP124307.jpg;aa/web-additional/DP124307.jpg;aa/web-large/DP124307.jpg;probably mid- to late 17th century;Iron, gold, silver, textile;1997.18.00;Not on view
"""The Feast of Sada"", Folio 22v from the Shahnama (Book of Kings) of Shah Tahmasp";"Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)";Abu'l Qasim Firdausi;;"<p>Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus) </p><p>Date: ca. 1525<br/>Accession Number: 1970.301.2</p>";"/art/collection/search/452111?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=98";https://images.metmuseum.org/CRDImages/is/mobile-large/DP107689.jpg;is/web-additional/DP107689.jpg;is/web-large/DP107689.jpg;ca. 1525;Opaque watercolor, ink, silver, and gold on paper;1975.01.02;Not on view
Mandala of the Bodhisattva Hannya (Prajnaparamita);;;Japan;<p>Date: 14th century<br/>Accession Number: 2000.289</p>;"/art/collection/search/53205?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=99";https://images.metmuseum.org/CRDImages/as/mobile-large/DT209331.jpg;as/web-additional/DT209331.jpg;as/web-large/DT209331.jpg;14th century;"Hanging scroll; ink, color, gold, and gold foil on silk";2004.49.00;Not on view
Roundel;Accession Number: 1972.45.1;;China;<p>Accession Number: 1972.45.1</p>;"/art/collection/search/65665?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=100";https://images.metmuseum.org/CRDImages/as/mobile-large/199843.jpg;as/web-additional/199843.jpg;as/web-large/199843.jpg;;Silk, wrapped gold thread;1972.45.01;Not on view
convertcsv(1);;;;;;;;;;;;
title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Manuscript Illumination with the Assumption of the Virgin in an Initial A, from an Antiphonary;Attributed to Cosmè Tura (Cosimo di Domenico di Bonaventura) (Italian, Ferrara ca. 1433–1495 Ferrara);Cosmè Tura (Cosimo di Domenico di Bonaventura);Italian;<p>Attributed to Cosmè Tura (Cosimo di Domenico di Bonaventura) (Italian, Ferrara ca. 1433–1495 Ferrara) </p><p>Date: 1450–60<br/>Accession Number: 11.50.1</p>;"/art/collection/search/463542?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=101";https://images.metmuseum.org/CRDImages/md/mobile-large/DT5045.jpg;md/web-additional/DT5045.jpg;md/web-large/DT5045.jpg;1450–60;Tempera, ink, and gold on parchment;11.50.01;Not on view
Knife Handle (Kozuka);Hamano Yasuyuki (Japanese);Hamano Yasuyuki;Japanese;<p>Hamano Yasuyuki (Japanese) </p><p>Date: 18th century<br/>Accession Number: 43.120.429</p>;"/art/collection/search/25316?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=102";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_429-001.jpg;aa/web-additional/LC-43_120_429-001.jpg;aa/web-large/LC-43_120_429-001.jpg;18th century;Copper-silver alloy (shibuichi), silver, gold;45.07.09;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: 19th century<br/>Accession Number: 43.120.419</p>;"/art/collection/search/25309?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=103";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.419_001jan2014.jpg;aa/web-additional/43.120.419_001jan2014.jpg;aa/web-large/43.120.419_001jan2014.jpg;19th century;Copper-silver alloy (shibuichi), gold, copper;45.06.59;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: probably late 18th–early 19th century<br/>Accession Number: 1998.463</p>;"/art/collection/search/26648?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=104";https://images.metmuseum.org/CRDImages/aa/mobile-large/1998.463_001may2014.jpg;aa/web-additional/1998.463_001may2014.jpg;aa/web-large/1998.463_001may2014.jpg;probably late 18th–early 19th century;Iron, gold, silver, copper;2005.43.00;Not on view
Knife Handle (Kozuka) with Blade;;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.545a, b</p>;"/art/collection/search/28351?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=105";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_545a_b-002.jpg;aa/web-additional/LC-43_120_545a_b-002.jpg;aa/web-large/LC-43_120_545a_b-002.jpg;ca. 1615–1868;Copper, copper-gold alloy (shakudō), gold, steel, wood;43.120.545a, b;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.693</p>;"/art/collection/search/28430?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=106";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.693_001apr2014.jpg;aa/web-additional/43.120.693_001apr2014.jpg;aa/web-large/43.120.693_001apr2014.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, copper;45.11.33;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.687</p>;"/art/collection/search/28428?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=107";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.687_001apr2014.jpg;aa/web-additional/43.120.687_001apr2014.jpg;aa/web-large/43.120.687_001apr2014.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, copper;45.11.27;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.767</p>;"/art/collection/search/28485?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=108";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.767_001apr2014.jpg;aa/web-additional/43.120.767_001apr2014.jpg;aa/web-large/43.120.767_001apr2014.jpg;ca. 1615–1868;Silver, gold, copper-gold alloy (shakudō), copper;45.12.47;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: late 18th century–early 19th century<br/>Accession Number: 43.120.474</p>;"/art/collection/search/28299?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=109";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_474-001.jpg;aa/web-additional/LC-43_120_474-001.jpg;aa/web-large/LC-43_120_474-001.jpg;late 18th century–early 19th century;Copper-silver alloy (shibuichi), gold;45.07.54;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.493</p>;"/art/collection/search/28310?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=110";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_493-001.jpg;aa/web-additional/LC-43_120_493-001.jpg;aa/web-large/LC-43_120_493-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;45.08.13;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.466</p>;"/art/collection/search/28295?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=111";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_466-001.jpg;aa/web-additional/LC-43_120_466-001.jpg;aa/web-large/LC-43_120_466-001.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold, silver;45.07.46;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: ca. 1615–1868)<br/>Accession Number: 43.120.440</p>;"/art/collection/search/28284?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=112";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_440-001.jpg;aa/web-additional/LC-43_120_440-001.jpg;aa/web-large/LC-43_120_440-001.jpg;ca. 1615–1868);Copper-gold alloy (shakudō), gold;45.07.20;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.498</p>;"/art/collection/search/28314?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=113";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_498-001.jpg;aa/web-additional/LC-43_120_498-001.jpg;aa/web-large/LC-43_120_498-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, silver;45.08.18;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.830</p>;"/art/collection/search/28525?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=114";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.830_001apr2014.jpg;aa/web-additional/43.120.830_001apr2014.jpg;aa/web-large/43.120.830_001apr2014.jpg;ca. 1615–1868;Copper alloy (sentoku), gold, silver, copper;45.13.50;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.828</p>;"/art/collection/search/28523?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=115";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.828_001apr2014.jpg;aa/web-additional/43.120.828_001apr2014.jpg;aa/web-large/43.120.828_001apr2014.jpg;ca. 1615–1868;Copper alloy (sentoku), gold, copper;45.13.48;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.827</p>;"/art/collection/search/28522?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=116";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.827_001apr2014.jpg;aa/web-additional/43.120.827_001apr2014.jpg;aa/web-large/43.120.827_001apr2014.jpg;ca. 1615–1868;Copper alloy (sentoku), gold, copper;45.13.47;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.845</p>;"/art/collection/search/28547?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=117";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.845_001apr2014.jpg;aa/web-additional/43.120.845_001apr2014.jpg;aa/web-large/43.120.845_001apr2014.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, copper;45.14.05;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.867</p>;"/art/collection/search/28561?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=118";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.867_001apr2014.jpg;aa/web-additional/43.120.867_001apr2014.jpg;aa/web-large/43.120.867_001apr2014.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold, copper-gold alloy (shakudō), copper;45.14.27;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.511</p>;"/art/collection/search/28326?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=119";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_511-001.jpg;aa/web-additional/LC-43_120_511-001.jpg;aa/web-large/LC-43_120_511-001.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold;45.08.31;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.715</p>;"/art/collection/search/28448?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=120";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.715_001apr2014.jpg;aa/web-additional/43.120.715_001apr2014.jpg;aa/web-large/43.120.715_001apr2014.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, copper;45.11.55;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.753</p>;"/art/collection/search/28473?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=121";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.753_001apr2014.jpg;aa/web-additional/43.120.753_001apr2014.jpg;aa/web-large/43.120.753_001apr2014.jpg;ca. 1615–1868;Copper, silver, gold;45.12.33;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1266a, b</p>;"/art/collection/search/28898?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=122";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1266a_b-001.jpg;aa/web-additional/LC-43_120_1266a_b-001.jpg;aa/web-large/LC-43_120_1266a_b-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1266a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1271a, b</p>;"/art/collection/search/28903?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=123";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1271a_b-001.jpg;aa/web-additional/LC-43_120_1271a_b-001.jpg;aa/web-large/LC-43_120_1271a_b-001.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold;43.120.1271a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1304a, b</p>;"/art/collection/search/28932?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=124";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1304a_b-001.jpg;aa/web-additional/LC-43_120_1304a_b-001.jpg;aa/web-large/LC-43_120_1304a_b-001.jpg;ca. 1615–1868;Iron, gold;43.120.1304a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1342a, b</p>;"/art/collection/search/28957?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=125";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1342a_b-001.jpg;aa/web-additional/LC-43_120_1342a_b-001.jpg;aa/web-large/LC-43_120_1342a_b-001.jpg;ca. 1615–1868;Iron, gold;43.120.1342a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1175a, b</p>;"/art/collection/search/28826?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=126";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1175a_b-001.jpg;aa/web-additional/LC-43_120_1175a_b-001.jpg;aa/web-large/LC-43_120_1175a_b-001.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold, copper-gold alloy (shakudō);43.120.1175a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1194a, b</p>;"/art/collection/search/28843?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=127";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1194a_b-001.jpg;aa/web-additional/LC-43_120_1194a_b-001.jpg;aa/web-large/LC-43_120_1194a_b-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1194a, b;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.917</p>;"/art/collection/search/28597?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=128";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.917_001apr2014.jpg;aa/web-additional/43.120.917_001apr2014.jpg;aa/web-large/43.120.917_001apr2014.jpg;ca. 1615–1868;Copper-silver alloy (shibuichi), gold, copper-gold alloy (shakudō);45.15.17;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.955</p>;"/art/collection/search/28622?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=129";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.955_001apr2014.jpg;aa/web-additional/43.120.955_001apr2014.jpg;aa/web-large/43.120.955_001apr2014.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold, copper;45.15.55;Not on view
Sowrd-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1051a, b</p>;"/art/collection/search/28715?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=130";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1051a_b-001.jpg;aa/web-additional/LC-43_120_1051a_b-001.jpg;aa/web-large/LC-43_120_1051a_b-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1051a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1052a, b</p>;"/art/collection/search/28716?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=131";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1052a_b-002.jpg;aa/web-additional/LC-43_120_1052a_b-002.jpg;aa/web-large/LC-43_120_1052a_b-002.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1052a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1153a, b</p>;"/art/collection/search/28806?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=132";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1153a_b-001.jpg;aa/web-additional/LC-43_120_1153a_b-001.jpg;aa/web-large/LC-43_120_1153a_b-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1153a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1206a, b</p>;"/art/collection/search/28852?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=133";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1206a_b-001.jpg;aa/web-additional/LC-43_120_1206a_b-001.jpg;aa/web-large/LC-43_120_1206a_b-001.jpg;ca. 1615–1868;Copper-gold alloy (shakudō), gold;43.120.1206a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.1339a, b</p>;"/art/collection/search/28954?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=134";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1339a_b-001.jpg;aa/web-additional/LC-43_120_1339a_b-001.jpg;aa/web-large/LC-43_120_1339a_b-001.jpg;ca. 1615–1868;Iron, gold;43.120.1339a, b;Not on view
Armor;;;Chinese;<p>Date: 18th century<br/>Accession Number: 36.25.7a–k</p>;"/art/collection/search/32077?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=135";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP275015.jpg;aa/web-additional/DP275015.jpg;aa/web-large/DP275015.jpg;18th century;Steel, copper, gold, silk, metallic thread, leather, hair;36.25.7a–k;Not on view
Close Helmet;;;French;<p>Date: ca. 1630<br/>Accession Number: 29.158.28</p>;"/art/collection/search/34271?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=136";https://images.metmuseum.org/CRDImages/aa/mobile-large/29.158.28_011AA2015.jpg;aa/web-additional/29.158.28_011AA2015.jpg;aa/web-large/29.158.28_011AA2015.jpg;ca. 1630;Steel, gold, wrought iron, brass;31.38.28;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: 18th century<br/>Accession Number: 14.40.905</p>;"/art/collection/search/26904?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=137";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-14_40_905-001.jpg;aa/web-additional/LC-14_40_905-001.jpg;aa/web-large/LC-14_40_905-001.jpg;18th century;Copper-gold alloy (shakudō), gold;14.55.05;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: 19th century<br/>Accession Number: 14.40.903</p>;"/art/collection/search/26902?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=138";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-14_40_903-001.jpg;aa/web-additional/LC-14_40_903-001.jpg;aa/web-large/LC-14_40_903-001.jpg;19th century;Copper-gold alloy (shakudō), gold, silver, copper-silver alloy (shibuichi);14.55.03;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: 18th century<br/>Accession Number: 38.25.67</p>;"/art/collection/search/29402?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=139";https://images.metmuseum.org/CRDImages/aa/mobile-large/38.25.67_001AA2015.jpg;aa/web-additional/38.25.67_001AA2015.jpg;aa/web-large/38.25.67_001AA2015.jpg;18th century;Iron, gold, copper-gold alloy (shakudō), copper-silver alloy (shibuichi);38.26.07;Not on view
Knife Handle (Kozuka);;;Japanese;<p>Date: 18th century<br/>Accession Number: 38.25.66</p>;"/art/collection/search/29401?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=140";https://images.metmuseum.org/CRDImages/aa/mobile-large/38.25.66_001AA2015.jpg;aa/web-additional/38.25.66_001AA2015.jpg;aa/web-large/38.25.66_001AA2015.jpg;18th century;Copper-gold alloy (shakudō), gold;38.26.06;Not on view
Sword Guard (Tsuba);;;Japanese;<p>Date: 17th century<br/>Accession Number: 38.25.34</p>;"/art/collection/search/29534?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=141";https://images.metmuseum.org/CRDImages/aa/mobile-large/38.25.34_001apr2014.jpg;aa/web-additional/38.25.34_001apr2014.jpg;aa/web-large/38.25.34_001apr2014.jpg;17th century;Copper-gold alloy (shakudō), gold, copper;38.25.34;Not on view
Pair of Sword-Grip Ornaments (Menuki);;;Japanese;<p>Date: possibly early 17th century<br/>Accession Number: 38.55.62a, b</p>;"/art/collection/search/29483?&what=Gold&ft=Dragon&offset=100&rpp=100&amp;pos=142";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-38_55_62a_b-001.jpg;aa/web-additional/LC-38_55_62a_b-001.jpg;aa/web-large/LC-38_55_62a_b-001.jpg;possibly early 17th century;Gold;38.55.62a, b;Not on view
